,speaker,text,token,target
657,JO,"Good bye, darling.","['good', 'bye', 'darling']",2
658,JO,"Yes, Professor Bhaer.","['yes', 'professor', 'bhaer']",2
659,JO,"Ah, yes.","['ah', 'yes']",2
660,JO,"(cries)

PROFESSOR
What?","['cries', 'professor', 'what']",2
661,JO,"No, it isnt that.","['no', 'it', 'isnt', 'that']",0
662,JO,"Oh, no, no.","['oh', 'no', 'no']",0
663,JO,Yes.,['yes'],4
664,JO,"Oh, no, no, no.","['oh', 'no', 'no', 'no']",0
665,JO,"Oh, no.","['oh', 'no']",0
666,JO,"Oh, no, no.","['oh', 'no', 'no']",0
667,JO,No.,['no'],0
668,JO,"Oh, yes.","['oh', 'yes']",2
669,JO,Ah.,['ah'],2
670,JO,"Oh, peppermint.","['oh', 'peppermint']",2
671,JO,"Oh, thank you.","['oh', 'thank', 'you']",4
672,JO,How could I be?,"['how', 'could', 'i', 'be']",2
673,JO,Ive never had so much fun.,"['ive', 'never', 'had', 'so', 'much', 'fun']",0
674,JO,She was divine.,"['she', 'was', 'divine']",2
675,JO,I know but to sing like that.,"['i', 'know', 'but', 'to', 'sing', 'like', 'that']",2
676,JO,"Id say, ""Look at me, world.","['id', 'say', 'look', 'at', 'me', 'world']",2
677,JO,"But you, youre responsible for that.","['but', 'you', 'youre', 'responsible', 'for', 'that']",2
678,JO,Wonderful.,['wonderful'],4
679,JO,Yes.,['yes'],4
680,JO,Only through Amy.,"['only', 'through', 'amy']",2
681,JO,"Why, yes.","['why', 'yes']",4
682,JO,Yes.,['yes'],4
683,JO,Its Beth.,"['its', 'beth']",2
684,JO,"No, theres, theres nothing.","['no', 'theres', 'theres', 'nothing']",2
685,BETH,"Oh, Jo, to think youre home.","['oh', 'jo', 'to', 'think', 'youre', 'home']",2
686,JO,"Shell be home in the spring, darling.","['shell', 'be', 'home', 'in', 'the', 'spring', 'darling']",2
687,BETH,"Oh, poor Jo.","['oh', 'poor', 'jo']",0
688,BETH,Little love.,"['little', 'love']",4
689,MEG,Im afraid theyre tiring you.,"['im', 'afraid', 'theyre', 'tiring', 'you']",0
690,BETH,"Oh, no.","['oh', 'no']",0
691,MEG,But its time for my little regiment to take its nap.,"['but', 'its', 'time', 'for', 'my', 'little', 'regiment', 'to', 'take', 'its', 'nap']",2
692,BETH,Theyre sweet.,"['theyre', 'sweet']",4
693,JO,"Bethy, Bethy.","['bethy', 'bethy']",2
694,MRS. MARCH,Bethy.,['bethy'],2
695,MRS. MARCH,"Bethy, Bethy.","['bethy', 'bethy']",2
696,JO,"No, no.","['no', 'no']",0
697,AMY,If only there were another boat leaving sooner.,"['if', 'only', 'there', 'were', 'another', 'boat', 'leaving', 'sooner']",2
698,AUNT MARCH,"Now, my dear, youve been so brave.","['now', 'my', 'dear', 'youve', 'been', 'so', 'brave']",2
699,AMY,"I know, but Im sick for home, Aunt March.","['i', 'know', 'but', 'im', 'sick', 'for', 'home', 'aunt', 'march']",2
700,MR. LAURENCE,My child.,"['my', 'child']",2
701,AMY,Mr. Laurence.,"['mr', 'laurence']",2
702,LAURIE,"Amy, we were in Germany dear, and Marmees letter had to be 
forwarded, but I came the moment I got it, because, well, you 
must comfort me now, too.","['amy', 'we', 'were', 'in', 'germany', 'dear', 'and', 'marmees', 'letter', 'had', 'to', 'be', 'forwarded', 'but', 'i', 'came', 'the', 'moment', 'i', 'got', 'it', 'because', 'well', 'you', 'must', 'comfort', 'me', 'now', 'too']",2
703,AUNT MARCH,Im thankful youre here.,"['im', 'thankful', 'youre', 'here']",2
704,JO,"Ah, the elegant young matron.","['ah', 'the', 'elegant', 'young', 'matron']",2
705,MEG,"Hello, Jo, dear.","['hello', 'jo', 'dear']",2
706,JO,"And you want me to mind the little demons for you while you are 
gone?","['and', 'you', 'want', 'me', 'to', 'mind', 'the', 'little', 'demons', 'for', 'you', 'while', 'you', 'are', 'gone']",2
707,MEG,No.,['no'],0
708,JO,"Well, talk to me now.","['well', 'talk', 'to', 'me', 'now']",2
709,MEG,Hows your story coming?,"['hows', 'your', 'story', 'coming']",2
710,JO,Sent it off yesterday.,"['sent', 'it', 'off', 'yesterday']",2
711,MEG,Without us reading it?,"['without', 'us', 'reading', 'it']",2
712,JO,"Well, you can read it when they send it back.","['well', 'you', 'can', 'read', 'it', 'when', 'they', 'send', 'it', 'back']",2
713,MEG,"Oh, Jo, I had a letter from Amy.","['oh', 'jo', 'i', 'had', 'a', 'letter', 'from', 'amy']",2
714,JO,So did Marmee.,"['so', 'did', 'marmee']",2
715,MEG,"Theyre in Val Rosa now, she say its at a paradise.","['theyre', 'in', 'val', 'rosa', 'now', 'she', 'say', 'its', 'at', 'a', 'paradise']",2
716,JO,"Meg, who?","['meg', 'who']",2
717,MEG,Of course I dont know.,"['of', 'course', 'i', 'dont', 'know']",0
718,JO,"Oh, no, Meg.","['oh', 'no', 'meg']",0
719,MEG,"Yes, but I wasnt quite sure.","['yes', 'but', 'i', 'wasnt', 'quite', 'sure']",0
720,JO,"Oh, no, no, dear.","['oh', 'no', 'no', 'dear']",0
721,JO,"Laurie, oh, my Laurie.","['laurie', 'oh', 'my', 'laurie']",2
722,LAURIE,"Oh, Jo, dear.","['oh', 'jo', 'dear']",2
723,JO,Glad?,['glad'],4
724,LAURIE,"Oh, they all stopped in at Megs, but I couldnt wait to see you.","['oh', 'they', 'all', 'stopped', 'in', 'at', 'megs', 'but', 'i', 'couldnt', 'wait', 'to', 'see', 'you']",0
725,JO,"Oh, let me look at you.","['oh', 'let', 'me', 'look', 'at', 'you']",2
726,LAURIE,"Oh, dont I look like a married man, and the head of a family?","['oh', 'dont', 'i', 'look', 'like', 'a', 'married', 'man', 'and', 'the', 'head', 'of', 'a', 'family']",2
727,JO,Not a bit.,"['not', 'a', 'bit']",0
728,LAURIE,Ah.,['ah'],2
729,JO,But youre the same scape grace as ever.,"['but', 'youre', 'the', 'same', 'scape', 'grace', 'as', 'ever']",2
730,LAURIE,"Oh, really, Jo.","['oh', 'really', 'jo']",2
731,JO,"Oh, no, darling, if you_c I think it has always meant to be.","['oh', 'no', 'darling', 'if', 'you', 'c', 'i', 'think', 'it', 'has', 'always', 'meant', 'to', 'be']",2
732,LAURIE,As you tried to make me understand.,"['as', 'you', 'tried', 'to', 'make', 'me', 'understand']",2
733,JO,But you never could be patient.,"['but', 'you', 'never', 'could', 'be', 'patient']",0
734,LAURIE,"So then we can go back to the happy old times, the way you 
wanted, when we first knew one another.","['so', 'then', 'we', 'can', 'go', 'back', 'to', 'the', 'happy', 'old', 'times', 'the', 'way', 'you', 'wanted', 'when', 'we', 'first', 'knew', 'one', 'another']",2
735,JO,No.,['no'],0
736,MRS. MARCH,"You look very well, Aunt March.","['you', 'look', 'very', 'well', 'aunt', 'march']",2
737,AUNT MARCH,"After all the money Ive spent on my Rheumatism, I come home on a 
day like this.","['after', 'all', 'the', 'money', 'ive', 'spent', 'on', 'my', 'rheumatism', 'i', 'come', 'home', 'on', 'a', 'day', 'like', 'this']",2
738,HANNAH,Heavens to Betsy!,"['heavens', 'to', 'betsy']",2
739,AMY,"Oh, where is she?","['oh', 'where', 'is', 'she']",2
740,JO,Amy.,['amy'],2
741,LAURIE,"Doesnt she look marvelous, Jo.","['doesnt', 'she', 'look', 'marvelous', 'jo']",0
742,AMY,Poor Jo.,"['poor', 'jo']",0
743,JO,Darling.,['darling'],4
744,AUNT MARCH,"Spent all my money and didnt have anything decent to eat the 
whole time.","['spent', 'all', 'my', 'money', 'and', 'didnt', 'have', 'anything', 'decent', 'to', 'eat', 'the', 'whole', 'time']",2
745,MRS. MARCH,You must be famished.,"['you', 'must', 'be', 'famished']",2
746,JO,"Oh, no, you wont, Marmee.","['oh', 'no', 'you', 'wont', 'marmee']",0
747,JO,"Its fun, isnt it, Bethy?","['its', 'fun', 'isnt', 'it', 'bethy']",2
748,JO,Ill go.,"['ill', 'go']",2
749,JO,I love it.,"['i', 'love', 'it']",4
750,JO,"Oh, Herr Professor.","['oh', 'herr', 'professor']",2
751,JO,"Oh, never mind what he thinks.","['oh', 'never', 'mind', 'what', 'he', 'thinks']",2
752,JO,But you were going without telling me.,"['but', 'you', 'were', 'going', 'without', 'telling', 'me']",2
753,JO,"Oh, no, only my family.","['oh', 'no', 'only', 'my', 'family']",0
754,JO,Yes.,['yes'],4
755,JO,Its the first time theyve been together for a long time.,"['its', 'the', 'first', 'time', 'theyve', 'been', 'together', 'for', 'a', 'long', 'time']",2
756,JO,Theyre not empty now.,"['theyre', 'not', 'empty', 'now']",2
757,JO,Welcome home.,"['welcome', 'home']",4
