,speaker,text,token
685,BETH,"Oh, Jo, to think youre home.","['oh', 'jo', 'to', 'think', 'youre', 'home']"
686,JO,"Shell be home in the spring, darling.","['shell', 'be', 'home', 'in', 'the', 'spring', 'darling']"
687,BETH,"Oh, poor Jo.","['oh', 'poor', 'jo']"
688,BETH,Little love.,"['little', 'love']"
689,MEG,Im afraid theyre tiring you.,"['im', 'afraid', 'theyre', 'tiring', 'you']"
690,BETH,"Oh, no.","['oh', 'no']"
691,MEG,But its time for my little regiment to take its nap.,"['but', 'its', 'time', 'for', 'my', 'little', 'regiment', 'to', 'take', 'its', 'nap']"
692,BETH,Theyre sweet.,"['theyre', 'sweet']"
693,JO,"Bethy, Bethy.","['bethy', 'bethy']"
694,MRS. MARCH,Bethy.,['bethy']
695,MRS. MARCH,"Bethy, Bethy.","['bethy', 'bethy']"
696,JO,"No, no.","['no', 'no']"
697,AMY,If only there were another boat leaving sooner.,"['if', 'only', 'there', 'were', 'another', 'boat', 'leaving', 'sooner']"
698,AUNT MARCH,"Now, my dear, youve been so brave.","['now', 'my', 'dear', 'youve', 'been', 'so', 'brave']"
699,AMY,"I know, but Im sick for home, Aunt March.","['i', 'know', 'but', 'im', 'sick', 'for', 'home', 'aunt', 'march']"
700,MR. LAURENCE,My child.,"['my', 'child']"
701,AMY,Mr. Laurence.,"['mr', 'laurence']"
702,LAURIE,"Amy, we were in Germany dear, and Marmees letter had to be 
forwarded, but I came the moment I got it, because, well, you 
must comfort me now, too.","['amy', 'we', 'were', 'in', 'germany', 'dear', 'and', 'marmees', 'letter', 'had', 'to', 'be', 'forwarded', 'but', 'i', 'came', 'the', 'moment', 'i', 'got', 'it', 'because', 'well', 'you', 'must', 'comfort', 'me', 'now', 'too']"
703,AUNT MARCH,Im thankful youre here.,"['im', 'thankful', 'youre', 'here']"
704,JO,"Ah, the elegant young matron.","['ah', 'the', 'elegant', 'young', 'matron']"
705,MEG,"Hello, Jo, dear.","['hello', 'jo', 'dear']"
706,JO,"And you want me to mind the little demons for you while you are 
gone?","['and', 'you', 'want', 'me', 'to', 'mind', 'the', 'little', 'demons', 'for', 'you', 'while', 'you', 'are', 'gone']"
707,MEG,No.,['no']
708,JO,"Well, talk to me now.","['well', 'talk', 'to', 'me', 'now']"
709,MEG,Hows your story coming?,"['hows', 'your', 'story', 'coming']"
710,JO,Sent it off yesterday.,"['sent', 'it', 'off', 'yesterday']"
711,MEG,Without us reading it?,"['without', 'us', 'reading', 'it']"
712,JO,"Well, you can read it when they send it back.","['well', 'you', 'can', 'read', 'it', 'when', 'they', 'send', 'it', 'back']"
713,MEG,"Oh, Jo, I had a letter from Amy.","['oh', 'jo', 'i', 'had', 'a', 'letter', 'from', 'amy']"
714,JO,So did Marmee.,"['so', 'did', 'marmee']"
715,MEG,"Theyre in Val Rosa now, she say its at a paradise.","['theyre', 'in', 'val', 'rosa', 'now', 'she', 'say', 'its', 'at', 'a', 'paradise']"
716,JO,"Meg, who?","['meg', 'who']"
717,MEG,Of course I dont know.,"['of', 'course', 'i', 'dont', 'know']"
718,JO,"Oh, no, Meg.","['oh', 'no', 'meg']"
719,MEG,"Yes, but I wasnt quite sure.","['yes', 'but', 'i', 'wasnt', 'quite', 'sure']"
720,JO,"Oh, no, no, dear.","['oh', 'no', 'no', 'dear']"
721,JO,"Laurie, oh, my Laurie.","['laurie', 'oh', 'my', 'laurie']"
722,LAURIE,"Oh, Jo, dear.","['oh', 'jo', 'dear']"
723,JO,Glad?,['glad']
724,LAURIE,"Oh, they all stopped in at Megs, but I couldnt wait to see you.","['oh', 'they', 'all', 'stopped', 'in', 'at', 'megs', 'but', 'i', 'couldnt', 'wait', 'to', 'see', 'you']"
725,JO,"Oh, let me look at you.","['oh', 'let', 'me', 'look', 'at', 'you']"
726,LAURIE,"Oh, dont I look like a married man, and the head of a family?","['oh', 'dont', 'i', 'look', 'like', 'a', 'married', 'man', 'and', 'the', 'head', 'of', 'a', 'family']"
727,JO,Not a bit.,"['not', 'a', 'bit']"
728,LAURIE,Ah.,['ah']
729,JO,But youre the same scape grace as ever.,"['but', 'youre', 'the', 'same', 'scape', 'grace', 'as', 'ever']"
730,LAURIE,"Oh, really, Jo.","['oh', 'really', 'jo']"
731,JO,"Oh, no, darling, if you_c I think it has always meant to be.","['oh', 'no', 'darling', 'if', 'you', 'c', 'i', 'think', 'it', 'has', 'always', 'meant', 'to', 'be']"
732,LAURIE,As you tried to make me understand.,"['as', 'you', 'tried', 'to', 'make', 'me', 'understand']"
733,JO,But you never could be patient.,"['but', 'you', 'never', 'could', 'be', 'patient']"
734,LAURIE,"So then we can go back to the happy old times, the way you 
wanted, when we first knew one another.","['so', 'then', 'we', 'can', 'go', 'back', 'to', 'the', 'happy', 'old', 'times', 'the', 'way', 'you', 'wanted', 'when', 'we', 'first', 'knew', 'one', 'another']"
735,JO,No.,['no']
736,MRS. MARCH,"You look very well, Aunt March.","['you', 'look', 'very', 'well', 'aunt', 'march']"
737,AUNT MARCH,"After all the money Ive spent on my Rheumatism, I come home on a 
day like this.","['after', 'all', 'the', 'money', 'ive', 'spent', 'on', 'my', 'rheumatism', 'i', 'come', 'home', 'on', 'a', 'day', 'like', 'this']"
738,HANNAH,Heavens to Betsy!,"['heavens', 'to', 'betsy']"
739,AMY,"Oh, where is she?","['oh', 'where', 'is', 'she']"
740,JO,Amy.,['amy']
741,LAURIE,"Doesnt she look marvelous, Jo.","['doesnt', 'she', 'look', 'marvelous', 'jo']"
742,AMY,Poor Jo.,"['poor', 'jo']"
743,JO,Darling.,['darling']
744,AUNT MARCH,"Spent all my money and didnt have anything decent to eat the 
whole time.","['spent', 'all', 'my', 'money', 'and', 'didnt', 'have', 'anything', 'decent', 'to', 'eat', 'the', 'whole', 'time']"
745,MRS. MARCH,You must be famished.,"['you', 'must', 'be', 'famished']"
746,JO,"Oh, no, you wont, Marmee.","['oh', 'no', 'you', 'wont', 'marmee']"
747,JO,"Its fun, isnt it, Bethy?","['its', 'fun', 'isnt', 'it', 'bethy']"
748,JO,Ill go.,"['ill', 'go']"
749,JO,I love it.,"['i', 'love', 'it']"
750,JO,"Oh, Herr Professor.","['oh', 'herr', 'professor']"
751,JO,"Oh, never mind what he thinks.","['oh', 'never', 'mind', 'what', 'he', 'thinks']"
752,JO,But you were going without telling me.,"['but', 'you', 'were', 'going', 'without', 'telling', 'me']"
753,JO,"Oh, no, only my family.","['oh', 'no', 'only', 'my', 'family']"
754,JO,Yes.,['yes']
755,JO,Its the first time theyve been together for a long time.,"['its', 'the', 'first', 'time', 'theyve', 'been', 'together', 'for', 'a', 'long', 'time']"
756,JO,Theyre not empty now.,"['theyre', 'not', 'empty', 'now']"
757,JO,Welcome home.,"['welcome', 'home']"
